Id,SleepDate,TotalMinutesAsleep,TotalTimeInBed
1503960366,3/13/2016,411,426
1503960366,3/14/2016,354,386
1503960366,3/15/2016,312,335
1503960366,3/16/2016,333,366
1503960366,3/17/2016,402,437
1503960366,3/18/2016,379,411
1503960366,3/19/2016,447,468
1503960366,3/20/2016,469,476
1503960366,3/21/2016,390,427
1503960366,3/23/2016,281,297
1503960366,3/24/2016,303,344
1503960366,3/25/2016,351,386
1503960366,3/26/2016,437,472
1503960366,3/27/2016,483,506
1503960366,3/28/2016,73,77
1503960366,3/29/2016,349,378
1503960366,3/31/2016,308,336
1503960366,4/1/2016,283,306
1503960366,4/2/2016,439,509
1503960366,4/3/2016,379,426
1503960366,4/4/2016,294,337
1503960366,4/5/2016,280,309
1503960366,4/9/2016,380,407
1503960366,4/10/2016,455,478
1503960366,4/11/2016,310,329
1503960366,4/12/2016,327,346
1503960366,4/13/2016,384,407
1503960366,4/15/2016,412,442
1503960366,4/16/2016,372,400
1503960366,4/17/2016,668,679
1503960366,4/19/2016,304,320
1503960366,4/20/2016,360,377
1503960366,4/21/2016,325,364
1503960366,4/23/2016,361,384
1503960366,4/24/2016,430,449
1503960366,4/25/2016,277,323
1503960366,4/26/2016,245,274
1503960366,4/28/2016,366,393
1503960366,4/29/2016,341,354
1503960366,4/30/2016,404,425
1503960366,5/1/2016,369,396
1503960366,5/2/2016,277,309
1503960366,5/3/2016,273,296
1503960366,5/5/2016,247,264
1503960366,5/6/2016,334,367
1503960366,5/7/2016,331,349
1503960366,5/8/2016,594,611
1503960366,5/9/2016,338,342
1503960366,5/10/2016,383,403
1503960366,5/11/2016,285,306
1644430081,3/27/2016,373,495
1644430081,3/28/2016,466,466
1644430081,3/29/2016,56,121
1644430081,3/30/2016,538,840
1644430081,4/29/2016,119,127
1644430081,4/30/2016,124,142
1644430081,5/1/2016,194,359
1644430081,5/2/2016,602,602
1644430081,5/8/2016,137,154
1844505072,4/3/2016,169,190
1844505072,4/4/2016,771,771
1844505072,4/9/2016,221,636
1844505072,4/10/2016,277,325
1844505072,4/14/2016,0,224
1844505072,4/15/2016,644,737
1844505072,4/29/2016,0,111
1844505072,4/30/2016,722,1038
1844505072,5/1/2016,590,773
1927972279,3/11/2016,29,36
1927972279,3/12/2016,608,628
1927972279,3/13/2016,505,516
1927972279,3/14/2016,173,179
1927972279,3/15/2016,68,68
1927972279,3/16/2016,599,645
1927972279,3/17/2016,6,6
1927972279,3/18/2016,523,553
1927972279,3/19/2016,583,611
1927972279,3/20/2016,548,576
1927972279,3/21/2016,334,352
1927972279,3/22/2016,379,394
1927972279,3/23/2016,447,474
1927972279,3/24/2016,428,437
1927972279,3/25/2016,60,63
1927972279,3/26/2016,387,406
1927972279,3/27/2016,112,120
1927972279,3/28/2016,219,230
1927972279,3/29/2016,563,588
1927972279,3/30/2016,401,404
1927972279,3/31/2016,493,520
1927972279,4/1/2016,369,383
1927972279,4/2/2016,280,315
1927972279,4/3/2016,107,111
1927972279,4/4/2016,465,483
1927972279,4/5/2016,393,420
1927972279,4/6/2016,414,429
1927972279,4/9/2016,39,47
1927972279,4/10/2016,479,496
1927972279,4/11/2016,496,525
1927972279,4/12/2016,626,651
1927972279,4/13/2016,398,422
1927972279,4/14/2016,47,51
1927972279,4/15/2016,428,448
1927972279,4/25/2016,115,125
1927972279,4/26/2016,181,190
1927972279,4/28/2016,166,178
2022484408,3/13/2016,135,144
2026352035,3/11/2016,126,149
2026352035,3/12/2016,540,572
2026352035,3/13/2016,648,671
2026352035,3/14/2016,510,538
2026352035,3/15/2016,422,436
2026352035,3/16/2016,144,163
2026352035,3/17/2016,479,510
2026352035,3/18/2016,575,611
2026352035,3/19/2016,515,550
2026352035,3/20/2016,545,588
2026352035,3/21/2016,567,604
2026352035,3/22/2016,520,545
2026352035,3/23/2016,562,600
2026352035,3/24/2016,531,567
2026352035,3/25/2016,495,526
2026352035,3/26/2016,579,621
2026352035,3/27/2016,545,581
2026352035,3/28/2016,510,539
2026352035,3/29/2016,482,521
2026352035,3/30/2016,468,520
2026352035,3/31/2016,524,555
2026352035,4/1/2016,514,544
2026352035,4/2/2016,528,575
2026352035,4/3/2016,534,605
2026352035,4/4/2016,493,533
2026352035,4/5/2016,531,571
2026352035,4/6/2016,465,517
2026352035,4/7/2016,540,597
2026352035,4/8/2016,521,548
2026352035,4/9/2016,490,555
2026352035,4/10/2016,504,556
2026352035,4/11/2016,541,582
2026352035,4/12/2016,504,542
2026352035,4/13/2016,511,539
2026352035,4/14/2016,560,590
2026352035,4/15/2016,517,565
2026352035,4/16/2016,500,562
2026352035,4/17/2016,309,327
2026352035,4/18/2016,169,196
2026352035,4/19/2016,469,514
2026352035,4/20/2016,443,490
2026352035,4/21/2016,510,538
2026352035,4/22/2016,534,566
2026352035,4/23/2016,513,550
2026352035,4/24/2016,549,572
2026352035,4/25/2016,352,359
2026352035,4/26/2016,113,134
2026352035,4/27/2016,532,568
2026352035,4/28/2016,462,483
2026352035,4/29/2016,557,596
2026352035,4/30/2016,592,613
2026352035,5/1/2016,503,533
2026352035,5/2/2016,363,369
2026352035,5/3/2016,143,155
2026352035,5/4/2016,541,564
2026352035,5/5/2016,464,486
2026352035,5/6/2016,534,546
2026352035,5/7/2016,521,545
2026352035,5/8/2016,546,572
2026352035,5/9/2016,478,496
2026352035,5/10/2016,389,421
2026352035,5/11/2016,512,541
2026352035,5/12/2016,321,330
2320127002,4/23/2016,61,69
2347167796,3/11/2016,14,17
2347167796,3/12/2016,474,499
2347167796,3/13/2016,577,620
2347167796,3/14/2016,432,468
2347167796,3/15/2016,501,565
2347167796,3/16/2016,446,475
2347167796,3/17/2016,383,413
2347167796,3/18/2016,435,536
2347167796,3/19/2016,250,261
2347167796,3/20/2016,529,585
2347167796,3/21/2016,452,484
2347167796,3/22/2016,488,523
2347167796,3/23/2016,449,493
2347167796,3/24/2016,435,491
2347167796,3/25/2016,313,350
2347167796,3/27/2016,107,144
2347167796,3/28/2016,516,560
2347167796,3/29/2016,422,472
2347167796,3/30/2016,472,514
2347167796,3/31/2016,517,577
2347167796,4/1/2016,374,391
2347167796,4/2/2016,417,463
2347167796,4/3/2016,579,625
2347167796,4/4/2016,472,525
2347167796,4/5/2016,395,448
2347167796,4/6/2016,372,425
2347167796,4/7/2016,70,76
2347167796,4/8/2016,380,405
2347167796,4/9/2016,18,21
2347167796,4/10/2016,601,659
2347167796,4/11/2016,353,399
2347167796,4/12/2016,107,115
2347167796,4/13/2016,441,518
2347167796,4/14/2016,450,480
2347167796,4/15/2016,366,411
2347167796,4/16/2016,62,66
2347167796,4/17/2016,627,675
2347167796,4/18/2016,460,529
2347167796,4/19/2016,372,403
2347167796,4/20/2016,98,106
2347167796,4/21/2016,400,422
2347167796,4/22/2016,367,417
2347167796,4/23/2016,407,422
2347167796,4/24/2016,482,496
2347167796,4/25/2016,433,484
2347167796,4/26/2016,431,480
2347167796,4/27/2016,432,487
2347167796,4/28/2016,414,447
2347167796,4/29/2016,353,412
3977333714,3/13/2016,304,475
3977333714,3/14/2016,303,421
3977333714,3/15/2016,257,387
3977333714,3/16/2016,208,321
3977333714,3/17/2016,356,481
3977333714,4/1/2016,297,430
3977333714,4/2/2016,199,290
3977333714,4/3/2016,222,359
3977333714,4/4/2016,205,374
3977333714,4/5/2016,378,486
3977333714,4/6/2016,296,426
3977333714,4/7/2016,221,405
3977333714,4/8/2016,305,480
3977333714,4/9/2016,273,418
3977333714,4/10/2016,293,452
3977333714,4/11/2016,282,415
3977333714,4/12/2016,274,469
3977333714,4/13/2016,295,456
3977333714,4/14/2016,291,397
3977333714,4/15/2016,424,556
3977333714,4/16/2016,283,510
3977333714,4/17/2016,381,566
3977333714,4/18/2016,412,522
3977333714,4/19/2016,219,395
3977333714,4/20/2016,152,331
3977333714,4/21/2016,332,486
3977333714,4/22/2016,355,476
3977333714,4/23/2016,235,372
3977333714,4/24/2016,310,526
3977333714,4/25/2016,262,467
3977333714,4/26/2016,250,371
3977333714,4/27/2016,349,540
3977333714,4/28/2016,261,423
3977333714,4/29/2016,333,478
3977333714,4/30/2016,284,464
3977333714,5/1/2016,336,544
3977333714,5/2/2016,230,384
3977333714,5/3/2016,292,500
3977333714,5/4/2016,213,336
3977333714,5/5/2016,318,480
3977333714,5/6/2016,323,512
3977333714,5/7/2016,237,443
3977333714,5/8/2016,259,456
3977333714,5/10/2016,312,452
4020332650,3/12/2016,384,429
4020332650,3/13/2016,505,533
4020332650,3/14/2016,265,290
4020332650,3/15/2016,331,341
4020332650,3/16/2016,459,493
4020332650,3/17/2016,374,407
4020332650,3/30/2016,366,387
4020332650,3/31/2016,259,268
4020332650,4/1/2016,429,450
4020332650,4/2/2016,499,508
4020332650,4/3/2016,387,399
4020332650,4/4/2016,463,478
4020332650,4/6/2016,245,257
4020332650,4/10/2016,74,74
4020332650,4/11/2016,426,438
4020332650,4/12/2016,356,378
4020332650,4/16/2016,77,77
4020332650,5/2/2016,42,48
4020332650,5/3/2016,311,316
4020332650,5/4/2016,447,504
4020332650,5/5/2016,226,248
4020332650,5/6/2016,385,408
4020332650,5/8/2016,364,402
4020332650,5/9/2016,29,34
4020332650,5/10/2016,413,460
4319703577,3/11/2016,78,90
4319703577,3/12/2016,503,517
4319703577,3/13/2016,364,376
4319703577,3/14/2016,94,100
4319703577,3/15/2016,458,490
4319703577,3/16/2016,496,531
4319703577,3/17/2016,495,529
4319703577,3/18/2016,481,503
4319703577,3/19/2016,473,505
4319703577,3/20/2016,450,488
4319703577,3/21/2016,428,466
4319703577,3/22/2016,63,64
4319703577,3/23/2016,490,510
4319703577,3/24/2016,412,429
4319703577,3/25/2016,519,558
4319703577,3/26/2016,489,517
4319703577,3/27/2016,583,613
4319703577,3/28/2016,498,525
4319703577,3/29/2016,514,547
4319703577,3/30/2016,454,478
4319703577,3/31/2016,38,47
4319703577,4/1/2016,466,484
4319703577,4/2/2016,529,543
4319703577,4/3/2016,568,583
4319703577,4/4/2016,473,505
4319703577,4/5/2016,450,474
4319703577,4/6/2016,470,504
4319703577,4/7/2016,433,450
4319703577,4/13/2016,79,87
4319703577,4/14/2016,486,502
4319703577,4/15/2016,435,459
4319703577,4/16/2016,506,522
4319703577,4/17/2016,56,74
4319703577,4/18/2016,513,548
4319703577,4/19/2016,493,525
4319703577,4/20/2016,437,445
4319703577,4/21/2016,129,141
4319703577,4/22/2016,516,535
4319703577,4/23/2016,639,661
4319703577,4/24/2016,516,551
4319703577,4/25/2016,478,498
4319703577,4/26/2016,466,474
4319703577,4/27/2016,382,407
4319703577,4/28/2016,483,508
4319703577,4/29/2016,477,502
4319703577,4/30/2016,477,505
4319703577,5/1/2016,526,537
4319703577,5/2/2016,467,500
4319703577,5/3/2016,420,450
4319703577,5/5/2016,81,94
4319703577,5/6/2016,385,417
4319703577,5/7/2016,515,544
4319703577,5/8/2016,652,683
4319703577,5/9/2016,526,559
4319703577,5/10/2016,513,541
4319703577,5/11/2016,510,534
4319703577,5/12/2016,230,248
4388161847,4/14/2016,208,231
4388161847,4/15/2016,298,304
4388161847,4/16/2016,540,563
4388161847,4/17/2016,498,517
4388161847,4/18/2016,138,149
4388161847,4/19/2016,433,451
4388161847,4/20/2016,430,455
4388161847,4/21/2016,290,296
4388161847,4/22/2016,164,173
4388161847,4/23/2016,396,413
4388161847,4/24/2016,552,595
4388161847,4/25/2016,33,43
4388161847,4/26/2016,464,506
4388161847,4/27/2016,423,455
4388161847,4/28/2016,288,300
4388161847,4/30/2016,507,546
4388161847,5/1/2016,556,593
4388161847,5/2/2016,262,264
4388161847,5/3/2016,111,114
4388161847,5/4/2016,467,501
4388161847,5/5/2016,283,294
4388161847,5/7/2016,472,496
4388161847,5/8/2016,529,541
4388161847,5/9/2016,127,137
4388161847,5/10/2016,477,498
4388161847,5/11/2016,292,299
4445114986,3/12/2016,361,381
4445114986,3/13/2016,348,353
4445114986,3/15/2016,487,560
4445114986,3/16/2016,388,418
4445114986,3/17/2016,217,231
4445114986,3/19/2016,137,156
4445114986,3/20/2016,539,552
4445114986,3/21/2016,195,209
4445114986,3/22/2016,344,360
4445114986,3/24/2016,380,405
4445114986,3/25/2016,325,344
4445114986,3/26/2016,156,166
4445114986,3/27/2016,318,325
4445114986,3/28/2016,359,376
4445114986,3/29/2016,442,478
4445114986,3/31/2016,360,416
4445114986,4/1/2016,311,337
4445114986,4/2/2016,469,495
4445114986,4/5/2016,465,496
4445114986,4/6/2016,431,450
4445114986,4/7/2016,262,268
4445114986,4/8/2016,219,233
4445114986,4/9/2016,391,443
4445114986,4/10/2016,347,369
4445114986,4/11/2016,395,428
4445114986,4/12/2016,429,457
4445114986,4/13/2016,370,406
4445114986,4/14/2016,441,492
4445114986,4/15/2016,337,379
4445114986,4/16/2016,462,499
4445114986,4/17/2016,98,107
4445114986,4/19/2016,388,424
4445114986,4/20/2016,439,462
4445114986,4/21/2016,436,469
4445114986,4/22/2016,388,417
4445114986,4/25/2016,329,345
4445114986,4/26/2016,353,391
4445114986,4/27/2016,332,374
4445114986,4/28/2016,419,442
4445114986,4/29/2016,106,108
4445114986,4/30/2016,322,353
4445114986,5/1/2016,439,459
4445114986,5/2/2016,503,542
4445114986,5/3/2016,417,450
4445114986,5/4/2016,337,363
4445114986,5/5/2016,462,513
4445114986,5/6/2016,374,402
4445114986,5/7/2016,401,436
4445114986,5/8/2016,361,391
4445114986,5/9/2016,457,533
4445114986,5/10/2016,405,426
4445114986,5/11/2016,501,530
4445114986,5/12/2016,483,501
4558609924,3/30/2016,96,101
4558609924,3/31/2016,190,191
4558609924,4/2/2016,86,87
4558609924,4/3/2016,274,277
4558609924,4/21/2016,126,137
4558609924,4/25/2016,68,79
4558609924,4/26/2016,35,42
4558609924,4/28/2016,69,76
4558609924,4/29/2016,102,103
4558609924,5/1/2016,115,129
4558609924,5/7/2016,46,52
4558609924,5/8/2016,77,82
4702921684,3/11/2016,119,124
4702921684,3/12/2016,454,478
4702921684,3/13/2016,281,288
4702921684,3/14/2016,437,457
4702921684,3/15/2016,453,467
4702921684,3/16/2016,461,488
4702921684,3/17/2016,446,464
4702921684,3/18/2016,345,364
4702921684,3/21/2016,99,102
4702921684,3/22/2016,428,458
4702921684,3/23/2016,429,466
4702921684,3/24/2016,428,460
4702921684,3/25/2016,458,487
4702921684,3/26/2016,404,418
4702921684,3/27/2016,563,598
4702921684,3/28/2016,419,426
4702921684,3/29/2016,413,430
4702921684,3/30/2016,421,455
4702921684,3/31/2016,420,425
4702921684,4/1/2016,454,475
4702921684,4/2/2016,538,566
4702921684,4/3/2016,558,586
4702921684,4/4/2016,419,444
4702921684,4/5/2016,404,440
4702921684,4/6/2016,454,475
4702921684,4/7/2016,448,460
4702921684,4/8/2016,345,370
4702921684,4/9/2016,425,588
4702921684,4/10/2016,533,555
4702921684,4/11/2016,329,334
4702921684,4/12/2016,442,458
4702921684,4/13/2016,376,405
4702921684,4/14/2016,365,396
4702921684,4/15/2016,230,231
4702921684,4/16/2016,498,522
4702921684,4/17/2016,592,623
4702921684,4/18/2016,288,307
4702921684,4/19/2016,466,486
4702921684,4/20/2016,416,431
4702921684,4/21/2016,342,350
4702921684,4/22/2016,27,27
4702921684,4/23/2016,477,487
4702921684,4/24/2016,480,507
4702921684,4/25/2016,407,419
4702921684,4/26/2016,436,450
4702921684,4/27/2016,446,452
4702921684,4/28/2016,426,447
4702921684,4/29/2016,438,450
4702921684,4/30/2016,387,409
4702921684,5/2/2016,66,69
4702921684,5/3/2016,351,398
4702921684,5/4/2016,390,412
4702921684,5/5/2016,426,441
4702921684,5/6/2016,489,534
4702921684,5/7/2016,355,373
4702921684,5/8/2016,87,95
4702921684,5/9/2016,410,429
4702921684,5/10/2016,422,439
4702921684,5/11/2016,360,370
4702921684,5/12/2016,330,364
5553957443,3/12/2016,707,760
5553957443,3/13/2016,756,833
5553957443,3/14/2016,273,313
5553957443,3/15/2016,378,429